,find_condominio,find_iptu,find_m_quadrado,is_academia,is_apertamento,is_churrasqueira,is_elevador,is_mobiliado,is_piscina,is_portaria,is_salao_festa,is_varanda,n_banheiros,n_garagens,n_quartos,expensive,Bairro
66014,1.0,0.0,60.0,0,1,0,1,0,1,1,0,1,2,1,3,1,Boa Vista
39284,0.0,0.0,110.0,0,1,0,0,0,0,0,0,0,3,2,3,1,Boa Viagem
70724,1.0,1.0,36.0,1,1,1,1,0,1,1,1,0,1,1,1,0,Boa Viagem
3394,550.0,150.0,64.0,1,1,1,1,1,1,1,1,1,2,1,3,1,Boa Viagem
17536,1.0,1.0,76.0,1,1,1,1,0,1,1,1,0,2,1,3,1,Madalena
8074,450.0,196.0,67.0,1,1,0,1,0,1,1,1,0,1,1,3,1,Imbiribeira
61464,1.0,1.0,46.0,1,1,0,1,0,1,1,1,0,1,1,2,0,Imbiribeira
51481,600.0,145.0,55.0,1,1,1,1,0,1,1,1,1,1,1,2,1,Torreão
57826,0.0,118.0,58.0,0,1,0,1,0,1,1,1,1,1,1,3,1,Ilha do Retiro
871,0.0,0.0,87.0,0,1,0,0,0,0,0,0,0,1,2,3,1,Madalena
20195,2.0,3.0,63.0,1,1,1,1,0,1,0,1,1,1,0,3,0,Imbiribeira
51808,0.0,0.0,67.0,0,1,0,0,0,0,0,0,0,3,1,3,1,Ilha do Retiro
17417,1.0,1.0,92.0,0,1,0,0,0,0,0,0,0,2,2,3,1,Casa Forte
39361,1.0,1.0,36.0,0,1,0,0,0,0,0,0,0,1,1,1,1,Boa Viagem
51257,550.0,0.0,44.0,1,1,1,1,0,1,1,1,0,1,1,2,1,Boa Viagem
64551,800.0,10.0,95.0,0,1,0,0,0,0,1,0,0,2,1,3,1,Boa Viagem
36544,1.0,1.0,51.0,0,1,1,1,0,1,1,1,0,2,1,2,0,Casa Amarela
25215,1.0,1.0,65.0,0,1,0,0,0,0,0,0,0,2,1,2,0,Encruzilhada
58008,600.0,138.0,96.0,0,1,0,0,0,0,1,0,0,1,1,3,0,Boa Viagem
19544,0.0,0.0,50.0,1,1,1,1,0,1,1,1,1,2,1,2,0,Várzea
1408,1.0,1.0,30.0,1,1,1,1,0,1,0,1,0,1,1,1,0,Boa Viagem
435,300.0,116.0,57.0,1,1,0,1,0,1,0,0,0,1,2,2,1,Torreão
50874,1.0,1.0,43.0,0,1,1,1,0,1,0,1,1,1,1,1,0,Poço
45021,0.0,50.0,64.0,0,0,0,0,0,0,0,0,0,1,2,3,0,Imbiribeira
35222,0.0,0.0,63.0,0,1,0,0,0,0,0,0,0,1,1,3,1,Encruzilhada
28728,300.0,-1.0,88.0,0,1,0,0,0,0,1,1,1,2,2,3,0,Várzea
